授業内選択肢ID,パラメータ上昇値,制限時間,会話,正解,選択肢1,選択肢1(日本語),選択肢2,選択肢2(日本語),選択肢3,選択肢3(日本語)
ClassProblemSelectTest_01,1,30,,Open the right door,Open the right door,右の扉を開ける,Open the middle door,真ん中の扉を開ける,Open the right door,左の扉を開ける
ClassProblemSelectTest_02,2,15,,Protect,Fight,戦う,Protect,ガードする,Cover's up ,守る
ClassProblemSelectTest_03,34,45,,Blame,Cry,泣く,Apologise,謝る,Blame,怒る
ClassProblemSelectTest_04,4,10,メデューサの視線を浴びると何になってしまう？,Rock,Ice,氷,Rock,石,Ash,灰
ClassProblemSelectTest_05,5,10,ゴブリンの特徴に一致するものは？,Small and green monster,Small and green monster,小さくて緑色のモンスター,Creature flying in the sky with big wings,大きな翼で空を飛ぶ生物,Fish-like creatures that live underwater,水中で暮らす魚のような生物
ClassProblemSelectTest_06,6,10,鷲の頭とライオンの体を持つ 魔法生物はどれ？,Griffon,Hippogriff,ヒポグリフ,Griffon,グリフォン,mermaid,マーメイド
ClassProblemSelectTest_07,7,10,アンデットの魔法生物に効く属性魔法は？,Light,soil,土,wind,風,Light,光
ClassProblemSelectTest_08,8,10,ヴァンパイアの弱点ではないのはどれ？,Sea  water,Garlic ,にんにく,Sea  water,海水,Sunlight,日光
,,,,,,,,,,
ClassProblemSelect_01,4,10,メデューサの視線を浴びると何になってしまう？,Rock,Rock,石,Ice,氷,Ash,灰
ClassProblemSelect_02,5,10,以下の３択中ゴブリンの特徴に一致するものは？,Small and green monster,Small and green monster,小さくて緑色のモンスター,Creature flying in the sky with big wings,大きな翼で空を飛ぶ生物,Fish-like creatures that live underwater,水中で暮らす魚のような生物
ClassProblemSelect_03,6,10,以下の３択のうち鷲の頭とライオンの体を持つ魔法生物はどれ？,Griffon,Hippogriff,ヒポグリフ,Griffon,グリフォン,Mermaid,マーメイド
ClassProblemSelect_04,7,10,アンデットの魔法生物に効く属性魔法は？,Light,Soil,土,Wind,風,Light,光
ClassProblemSelect_05,8,10,以下3三択中ヴァンパイアの弱点でないものはどれ？,Sea water,Garlic ,にんにく,Sea water,海水,Sunlight,日光
ClassProblemSelect_06,4,10,「月夜の葉」はどの時間帯にもっとも効果を発揮するでしょうか？,Midnight,Daytime,昼間,Dawn,夜明け,Midnight,深夜
ClassProblemSelect_07,5,10,「リラッ草」の成分にはどのような効果があるでしょうか？,Relieving fatigue,Wound healing effect,傷を癒す効果,Relieving fatigue,疲労を回復する効果,Headache-relieving effect,頭痛を和らげる効果
ClassProblemSelect_08,6,10,「サンフラワー」はどんな場所で育つ薬草でしょうか？,Light steppe,Dark Cave,暗い洞窟,Desert,砂漠,Light steppe,明るい草原
